,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
139,LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N,"$5,630.00"
140,LP001497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N,"$7,125.00"
141,LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y,"$5,417.00"
142,LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y,"$6,950.00"
143,LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y,"$4,732.00"
144,LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y,"$11,757.00"
145,LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y,"$6,816.00"
146,LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y,"$14,866.00"
147,LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y,"$2,963.00"
148,LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N,"$11,666.00"
149,LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y,"$5,690.00"
150,LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N,"$6,277.00"
151,LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y,"$6,327.00"
152,LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N,"$9,166.00"
153,LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N,"$2,281.00"
154,LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y,"$3,254.00"
155,LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y,"$39,999.00"
156,LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,Y,"$6,000.00"
157,LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y,"$9,538.00"
158,LP001546,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y,"$5,063.00"
159,LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y,"$10,208.00"
160,LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y,"$2,904.00"
161,LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N,"$7,933.00"
162,LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N,"$4,369.00"
163,LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y,"$5,614.00"
164,LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y,"$9,323.00"
165,LP001574,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,Y,"$6,873.00"
166,LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N,"$4,583.00"
167,LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y,"$5,772.00"
168,LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N,"$2,237.00"
169,LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y,"$8,000.00"
170,LP001581,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y,"$3,589.00"
171,LP001585,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y,"$51,763.00"
172,LP001586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N,"$3,522.00"
173,LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y,"$11,333.00"
174,LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N,"$5,080.00"
175,LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y,"$5,461.00"
176,LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y,"$3,664.00"
177,LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N,"$16,816.00"
178,LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y,"$3,750.00"
179,LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N,"$3,784.00"
180,LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N,"$13,650.00"
181,LP001634,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,N,"$6,979.00"
182,LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y,"$4,600.00"
183,LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N,"$33,846.00"
184,LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y,"$3,625.00"
185,LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y,"$43,897.00"
186,LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N,"$2,178.00"
187,LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,Y,"$4,521.00"
188,LP001644,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y,"$5,970.00"
189,LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y,"$9,328.00"
190,LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y,"$4,885.00"
191,LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N,"$12,000.00"
192,LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N,"$6,033.00"
193,LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y,"$3,858.00"
194,LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y,"$4,191.00"
195,LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N,"$5,708.00"
196,LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y,"$12,083.00"
197,LP001669,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y,"$4,272.00"
198,LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y,"$6,232.00"
199,LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N,"$11,000.00"
200,LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y,"$5,100.00"
201,LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y,"$4,923.00"
202,LP001682,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N,"$3,992.00"
203,LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y,"$4,583.00"
204,LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y,"$3,917.00"
205,LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y,"$4,408.00"
206,LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y,"$3,244.00"
207,LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y,"$6,506.00"
208,LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y,"$2,479.00"
209,LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N,"$3,418.00"
210,LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N,"$10,000.00"
211,LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N,"$4,680.00"
212,LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y,"$7,787.00"
213,LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y,"$5,703.00"
214,LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y,"$6,194.00"
215,LP001720,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y,"$4,833.00"
216,LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N,"$1,950.00"
217,LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y,"$5,502.00"
218,LP001732,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N,"$5,000.00"
219,LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y,"$6,666.00"
220,LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N,"$2,221.00"
221,LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y,"$5,726.00"
222,LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y,"$5,762.00"
223,LP001749,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y,"$8,588.00"
224,LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y,"$6,250.00"
225,LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N,"$3,250.00"
226,LP001754,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N,"$4,735.00"
227,LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y,"$7,945.00"
228,LP001760,Male,,,Graduate,No,4758,0,158,480,1,Semiurban,Y,"$4,758.00"
229,LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y,"$6,400.00"
230,LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y,"$4,545.00"
231,LP001768,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y,"$3,716.00"
232,LP001770,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y,"$5,787.00"
233,LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y,"$8,333.00"
234,LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y,"$4,934.00"
235,LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y,"$6,760.00"
236,LP001786,Male,Yes,0,Graduate,,5746,0,255,360,,Urban,N,"$5,746.00"
237,LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y,"$3,463.00"
238,LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y,"$3,812.00"
239,LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y,"$3,315.00"
240,LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y,"$10,819.00"
241,LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N,"$4,493.00"
242,LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y,"$8,666.00"
243,LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y,"$7,550.00"
244,LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y,"$7,823.00"
245,LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N,"$10,383.00"
246,LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y,"$9,703.00"
247,LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y,"$6,608.00"
248,LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y,"$4,725.00"
249,LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y,"$3,677.00"
250,LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,N,"$5,558.00"
251,LP001836,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N,"$3,427.00"
252,LP001841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Y,"$4,750.00"
253,LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y,"$9,762.00"
254,LP001844,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,N,"$16,250.00"
255,LP001846,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,Y,"$3,083.00"
256,LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N,"$6,045.00"
257,LP001854,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,N,"$5,250.00"
258,LP001859,Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,N,"$16,783.00"
259,LP001864,Male,Yes,3+,Not Graduate,No,4931,0,128,360,,Semiurban,N,"$4,931.00"
260,LP001865,Male,Yes,1,Graduate,No,6083,4250,330,360,,Urban,Y,"$10,333.00"
261,LP001868,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y,"$4,269.00"
262,LP001870,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N,"$3,481.00"
263,LP001871,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y,"$7,200.00"
264,LP001872,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y,"$5,166.00"
265,LP001875,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y,"$7,542.00"
266,LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y,"$6,095.00"
267,LP001882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,Y,"$6,144.00"
268,LP001883,Female,No,0,Graduate,,3418,0,135,360,1,Rural,N,"$3,418.00"
269,LP001884,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Y,"$4,436.00"
270,LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y,"$3,237.00"
271,LP001891,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,Y,"$11,146.00"
